country,location_name,latitude,longitude,condition_text,precip_mm
France,Paris,48.87,2.33,Overcast,0
Gabon,Libreville,0.38,9.45,Partly cloudy,0.2
Gambia,Banjul,13.45,-16.58,Partly cloudy,1
Georgia,Tbilisi,41.73,44.79,Clear,0
Germany,Berlin,52.52,13.4,Clear,0.3
Ghana,Accra,5.55,-0.22,Overcast,0.5
Greece,Athens,37.98,23.72,Clear,0
Grenada,Saint George's,12.05,-61.75,Partly cloudy,0.1
Guatemala,Guatemala City,14.62,-90.53,Partly cloudy,1
Guinea,Conakry,9.51,-13.71,Partly cloudy,0
Guinea-Bissau,Bissau,11.85,-15.58,Partly cloudy,0.2
Guyana,Georgetown,6.8,-58.17,Partly cloudy,0
Haiti,Port-Au-Prince,18.54,-72.34,Overcast,0
Vatican City,Vatican City,41.9,12.45,Partly cloudy,0.1
Honduras,Tegucigalpa,14.1,-87.22,Patchy light rain with thunder,1.5
Hungary,Budapest,47.5,19.08,Clear,0.8
Iceland,Hella,63.83,-20.4,Overcast,0
India,New Delhi,28.6,77.2,Mist,0
Indonesia,Jakarta,-6.21,106.85,Mist,0
Iran,Tehran,35.73,51.33,Partly cloudy,0
Iraq,Baghdad,33.34,44.39,Clear,0
Ireland,Dublin,53.33,-6.25,Light rain,0
Israel,Jerusalem,31.78,35.23,Clear,0
